Agency Code,Site Number,Datetime,Time Zone,Gage Height Seaward (ft) Point B,Code Seaward,Gage Height Landward (ft) Point B,Code Landward,Gage Height (m) it C,Gage Height Landward (m) Point B,Gage Height Seaward(m Point B
USGS,8079120,2022-12-31 03:05:00,CST,1.29,A,1.26,A,0.385,0.38808,0.39732
USGS,8079120,2022-12-31 03:10:00,CST,1.3,A,1.26,A,0.39424,0.38808,0.40040000000000003
USGS,8079120,2022-12-31 03:15:00,CST,1.31,A,1.29,A,0.4466,0.39732,0.40348
USGS,8079120,2022-12-31 03:20:00,CST,1.3,A,1.27,A,0.44351999999999997,0.39116,0.40040000000000003
USGS,8079120,2022-12-31 03:25:00,CST,1.16,A,1.13,A,0.48356,0.34803999999999996,0.35728
USGS,8079120,2022-12-31 03:30:00,CST,1.09,A,1.08,A,0.4928,0.33264,0.33572
USGS,8079120,2022-12-31 03:35:00,CST,1.18,A,1.15,A,0.50512,0.35419999999999996,0.36344
USGS,8079120,2022-12-31 03:40:00,CST,1.17,A,1.15,A,0.50512,0.35419999999999996,0.36035999999999996
USGS,8079120,2022-12-31 03:45:00,CST,1.18,A,1.12,A,0.4928,0.34496000000000004,0.36344
USGS,8079120,2022-12-31 03:50:00,CST,1.14,A,1.11,A,0.51744,0.34188,0.35112
USGS,8079120,2022-12-31 03:55:00,CST,1.21,A,1.18,A,0.53592,0.36344,0.37268
USGS,8079120,2022-12-31 04:00:00,CST,1.27,A,1.22,A,0.54516,0.37576,0.39116
USGS,8079120,2022-12-31 04:05:00,CST,1.24,A,1.23,A,0.57596,0.37884,0.38192
USGS,8079120,2022-12-31 04:10:00,CST,1.31,A,1.28,A,0.59136,0.39424,0.40348
USGS,8079120,2022-12-31 04:15:00,CST,1.37,A,1.35,A,0.57904,0.4158,0.42196
USGS,8079120,2022-12-31 04:20:00,CST,1.38,A,1.34,A,0.5851999999999999,0.41272000000000003,0.42504
USGS,8079120,2022-12-31 04:25:00,CST,1.37,A,1.35,A,0.60676,0.4158,0.42196
USGS,8079120,2022-12-31 04:30:00,CST,1.35,A,1.32,A,0.5975199999999999,0.40656000000000003,0.4158
USGS,8079120,2022-12-31 04:35:00,CST,1.3,A,1.28,A,0.6098399999999999,0.39424,0.40040000000000003
USGS,8079120,2022-12-31 04:40:00,CST,1.23,A,1.22,A,0.64064,0.37576,0.37884
USGS,8079120,2022-12-31 04:45:00,CST,1.21,A,1.2,A,0.65604,0.3696,0.37268
USGS,8079120,2022-12-31 04:50:00,CST,1.21,A,1.18,A,0.64372,0.36344,0.37268
USGS,8079120,2022-12-31 04:55:00,CST,1.2,A,1.17,A,0.64372,0.36035999999999996,0.3696
USGS,8079120,2022-12-31 05:00:00,CST,1.2,A,1.16,A,0.6498799999999999,0.35728,0.3696
USGS,8079120,2022-12-31 05:05:00,CST,1.21,A,1.17,A,0.62832,0.36035999999999996,0.37268
USGS,8079120,2022-12-31 05:10:00,CST,1.2,A,1.17,A,0.61908,0.36035999999999996,0.3696
USGS,8079120,2022-12-31 05:15:00,CST,1.25,A,1.21,A,0.6252399999999999,0.37268,0.385
USGS,8079120,2022-12-31 05:20:00,CST,1.33,A,1.29,A,0.62832,0.39732,0.40964
USGS,8079120,2022-12-31 05:25:00,CST,1.37,A,1.34,A,0.62216,0.41272000000000003,0.42196
USGS,8079120,2022-12-31 05:30:00,CST,1.37,A,1.34,A,0.60368,0.41272000000000003,0.42196
USGS,8079120,2022-12-31 05:35:00,CST,1.41,A,1.37,A,0.59136,0.42196,0.43427999999999994
USGS,8079120,2022-12-31 05:40:00,CST,1.35,A,1.33,A,0.57904,0.40964,0.4158
USGS,8079120,2022-12-31 05:45:00,CST,1.32,A,1.29,A,0.5975199999999999,0.39732,0.40656000000000003
USGS,8079120,2022-12-31 05:50:00,CST,1.29,A,1.27,A,0.5851999999999999,0.39116,0.39732
USGS,8079120,2022-12-31 05:55:00,CST,1.28,A,1.26,A,0.5728800000000001,0.38808,0.39424
USGS,8079120,2022-12-31 06:00:00,CST,1.25,A,1.22,A,0.5728800000000001,0.37576,0.385
USGS,8079120,2022-12-31 06:05:00,CST,1.21,A,1.18,A,0.5605600000000001,0.36344,0.37268
USGS,8079120,2022-12-31 06:10:00,CST,1.3,A,1.26,A,0.54824,0.38808,0.40040000000000003
USGS,8079120,2022-12-31 06:15:00,CST,1.33,A,1.3,A,0.52976,0.40040000000000003,0.40964
USGS,8079120,2022-12-31 06:20:00,CST,1.38,A,1.35,A,0.52052,0.4158,0.42504
USGS,8079120,2022-12-31 06:25:00,CST,1.36,A,1.34,A,0.50512,0.41272000000000003,0.41888000000000003
USGS,8079120,2022-12-31 06:30:00,CST,1.49,A,1.48,A,0.49588000000000004,0.45583999999999997,0.45892
USGS,8079120,2022-12-31 06:35:00,CST,1.56,A,1.52,A,0.48048,0.46816,0.48048
USGS,8079120,2022-12-31 06:40:00,CST,1.51,A,1.49,A,0.48048,0.45892,0.46508
USGS,8079120,2022-12-31 06:45:00,CST,1.48,A,1.45,A,0.46508,0.4466,0.45583999999999997
USGS,8079120,2022-12-31 06:50:00,CST,1.5,A,1.5,A,0.45276,0.46199999999999997,0.46199999999999997
USGS,8079120,2022-12-31 06:55:00,CST,1.47,A,1.45,A,0.44044,0.4466,0.45276
USGS,8079120,2022-12-31 07:00:00,CST,1.33,A,1.31,A,0.44044,0.40348,0.40964
USGS,8079120,2022-12-31 07:05:00,CST,1.31,A,1.29,A,0.43427999999999994,0.39732,0.40348
USGS,8079120,2022-12-31 07:10:00,CST,1.28,A,1.25,A,0.42504,0.385,0.39424
USGS,8079120,2022-12-31 07:15:00,CST,1.21,A,1.19,A,0.43735999999999997,0.36651999999999996,0.37268
USGS,8079120,2022-12-31 07:20:00,CST,1.23,A,1.19,A,0.43427999999999994,0.36651999999999996,0.37884
USGS,8079120,2022-12-31 07:25:00,CST,1.31,A,1.28,A,0.43119999999999997,0.39424,0.40348
USGS,8079120,2022-12-31 07:30:00,CST,1.38,A,1.36,A,0.44351999999999997,0.41888000000000003,0.42504
USGS,8079120,2022-12-31 07:35:00,CST,1.43,A,1.4,A,0.4466,0.43119999999999997,0.44044
USGS,8079120,2022-12-31 07:40:00,CST,1.47,A,1.45,A,0.45276,0.4466,0.45276
USGS,8079120,2022-12-31 07:45:00,CST,1.6,A,1.58,A,0.47124,0.48664,0.4928
USGS,8079120,2022-12-31 07:50:00,CST,1.72,A,1.69,A,0.4774,0.52052,0.52976
USGS,8079120,2022-12-31 07:55:00,CST,1.78,A,1.76,A,0.4774,0.54208,0.54824
USGS,8079120,2022-12-31 08:00:00,CST,1.82,A,1.8,A,0.48048,0.5544,0.5605600000000001
USGS,8079120,2022-12-31 08:05:00,CST,1.78,A,1.77,A,0.47432,0.54516,0.54824
USGS,8079120,2022-12-31 08:10:00,CST,1.69,A,1.67,A,0.4774,0.5143599999999999,0.52052
USGS,8079120,2022-12-31 08:15:00,CST,1.63,A,1.6,A,0.48048,0.4928,0.5020399999999999
USGS,8079120,2022-12-31 08:20:00,CST,1.66,A,1.65,A,0.47124,0.5082,0.51128
USGS,8079120,2022-12-31 08:25:00,CST,1.68,A,1.65,A,0.47124,0.5082,0.51744
USGS,8079120,2022-12-31 08:30:00,CST,1.63,A,1.59,A,0.46508,0.48972000000000004,0.5020399999999999
USGS,8079120,2022-12-31 08:35:00,CST,1.61,A,1.58,A,0.45583999999999997,0.48664,0.49588000000000004
USGS,8079120,2022-12-31 08:40:00,CST,1.66,A,1.63,A,0.44967999999999997,0.5020399999999999,0.51128
USGS,8079120,2022-12-31 08:45:00,CST,1.74,A,1.7,A,0.42504,0.5236,0.53592
USGS,8079120,2022-12-31 08:50:00,CST,1.76,A,1.74,A,0.42196,0.53592,0.54208
USGS,8079120,2022-12-31 08:55:00,CST,1.84,A,1.81,A,0.40348,0.55748,0.56672
USGS,8079120,2022-12-31 09:00:00,CST,1.86,A,1.84,A,0.38192,0.56672,0.5728800000000001
USGS,8079120,2022-12-31 09:05:00,CST,1.83,A,1.81,A,0.36035999999999996,0.55748,0.56364
USGS,8079120,2022-12-31 09:10:00,CST,1.8,A,1.77,A,0.35728,0.54516,0.5544
USGS,8079120,2022-12-31 09:15:00,CST,1.75,A,1.73,A,0.33572,0.53284,0.539
USGS,8079120,2022-12-31 09:20:00,CST,1.72,A,1.71,A,0.31724,0.52668,0.52976
USGS,8079120,2022-12-31 09:25:00,CST,1.69,A,1.66,A,0.308,0.51128,0.52052
USGS,8079120,2022-12-31 09:30:00,CST,1.73,A,1.69,A,0.29259999999999997,0.52052,0.53284
USGS,8079120,2022-12-31 09:35:00,CST,1.72,A,1.68,A,0.2772,0.51744,0.52976
USGS,8079120,2022-12-31 09:40:00,CST,1.78,A,1.74,A,0.26488,0.53592,0.54824
USGS,8079120,2022-12-31 09:45:00,CST,1.85,A,1.81,A,0.24948,0.55748,0.5698
USGS,8079120,2022-12-31 09:50:00,CST,1.9,A,1.91,A,0.24024,0.5882799999999999,0.5851999999999999
USGS,8079120,2022-12-31 09:55:00,CST,1.99,A,1.95,A,0.23408,0.6006,0.61292
USGS,8079120,2022-12-31 10:00:00,CST,2.06,A,2.02,A,0.22175999999999998,0.62216,0.63448
USGS,8079120,2022-12-31 10:05:00,CST,2.16,A,2.12,A,0.20328000000000002,0.65296,0.66528
USGS,8079120,2022-12-31 10:10:00,CST,2.12,A,2.1,A,0.19712,0.6468,0.65296
USGS,8079120,2022-12-31 10:15:00,CST,2.02,A,1.99,A,0.20020000000000002,0.61292,0.62216
USGS,8079120,2022-12-31 10:20:00,CST,2.03,A,2.0,A,0.19096,0.616,0.6252399999999999
USGS,8079120,2022-12-31 10:25:00,CST,2.03,A,2.0,A,0.20020000000000002,0.616,0.6252399999999999
USGS,8079120,2022-12-31 10:30:00,CST,1.97,A,1.95,A,0.19712,0.6006,0.60676
USGS,8079120,2022-12-31 10:35:00,CST,1.92,A,1.88,A,0.20020000000000002,0.57904,0.59136
USGS,8079120,2022-12-31 10:40:00,CST,1.96,A,1.93,A,0.20944000000000002,0.59444,0.60368
USGS,8079120,2022-12-31 10:45:00,CST,2.02,A,1.99,A,0.21559999999999999,0.61292,0.62216
USGS,8079120,2022-12-31 10:50:00,CST,2.01,A,1.98,A,0.22483999999999998,0.6098399999999999,0.61908
USGS,8079120,2022-12-31 10:55:00,CST,1.97,A,1.93,A,0.23716,0.59444,0.60676
USGS,8079120,2022-12-31 11:00:00,CST,1.94,A,1.94,A,0.24024,0.5975199999999999,0.5975199999999999
USGS,8079120,2022-12-31 11:05:00,CST,2.02,A,1.99,A,0.26796,0.61292,0.62216
USGS,8079120,2022-12-31 11:10:00,CST,1.98,A,1.95,A,0.27104,0.6006,0.6098399999999999
USGS,8079120,2022-12-31 11:15:00,CST,1.88,A,1.86,A,0.28336,0.5728800000000001,0.57904
USGS,8079120,2022-12-31 11:20:00,CST,1.96,A,1.93,A,0.308,0.59444,0.60368
USGS,8079120,2022-12-31 11:25:00,CST,1.99,A,1.97,A,0.34188,0.60676,0.61292
USGS,8079120,2022-12-31 11:30:00,CST,2.04,A,2.0,A,0.3696,0.616,0.62832
USGS,8079120,2022-12-31 11:35:00,CST,1.96,A,1.93,A,0.41272000000000003,0.59444,0.60368
USGS,8079120,2022-12-31 11:40:00,CST,2.04,A,2.02,A,0.44044,0.62216,0.62832
USGS,8079120,2022-12-31 11:45:00,CST,2.14,A,2.13,A,0.45276,0.65604,0.65912
USGS,8079120,2022-12-31 11:50:00,CST,2.19,A,2.16,A,0.46199999999999997,0.66528,0.67452
USGS,8079120,2022-12-31 11:55:00,CST,2.26,A,2.23,A,0.5082,0.68684,0.6960799999999999
USGS,8079120,2022-12-31 12:00:00,CST,2.29,A,2.26,A,0.54208,0.6960799999999999,0.70532
USGS,8079120,2022-12-31 12:05:00,CST,2.3,A,2.27,A,0.5698,0.69916,0.7083999999999999
USGS,8079120,2022-12-31 12:10:00,CST,2.25,A,2.22,A,0.60676,0.68376,0.693
USGS,8079120,2022-12-31 12:15:00,CST,2.27,A,2.26,A,0.64064,0.6960799999999999,0.69916
USGS,8079120,2022-12-31 12:20:00,CST,2.26,A,2.24,A,0.66528,0.6899200000000001,0.6960799999999999
USGS,8079120,2022-12-31 12:25:00,CST,2.15,A,2.15,A,0.68376,0.6622,0.6622
USGS,8079120,2022-12-31 12:30:00,CST,2.22,A,2.19,A,0.71456,0.67452,0.68376
USGS,8079120,2022-12-31 12:35:00,CST,2.1,A,2.1,A,0.72996,0.6468,0.6468
USGS,8079120,2022-12-31 12:40:00,CST,2.14,A,2.1,A,0.74536,0.6468,0.65912
USGS,8079120,2022-12-31 12:45:00,CST,2.08,A,2.03,A,0.7607600000000001,0.6252399999999999,0.64064
USGS,8079120,2022-12-31 12:50:00,CST,2.07,A,2.03,A,0.7792399999999999,0.6252399999999999,0.6375599999999999
USGS,8079120,2022-12-31 12:55:00,CST,2.04,A,2.01,A,0.7854,0.61908,0.62832
USGS,8079120,2022-12-31 13:00:00,CST,2.02,A,1.99,A,0.81928,0.61292,0.62216
USGS,8079120,2022-12-31 13:05:00,CST,2.04,A,2.02,A,0.85008,0.62216,0.62832
USGS,8079120,2022-12-31 13:10:00,CST,2.0,A,1.93,A,0.8377600000000001,0.59444,0.616
USGS,8079120,2022-12-31 13:15:00,CST,2.05,A,2.03,A,0.84084,0.6252399999999999,0.6314
USGS,8079120,2022-12-31 13:20:00,CST,2.0,A,1.97,A,0.85316,0.60676,0.616
USGS,8079120,2022-12-31 13:25:00,CST,2.08,A,2.08,A,0.85008,0.64064,0.64064
USGS,8079120,2022-12-31 13:30:00,CST,2.14,A,2.1,A,0.847,0.6468,0.65912
USGS,8079120,2022-12-31 13:35:00,CST,2.09,A,2.1,A,0.8254400000000001,0.6468,0.64372
USGS,8079120,2022-12-31 13:40:00,CST,2.08,A,2.08,A,0.82236,0.64064,0.64064
USGS,8079120,2022-12-31 13:45:00,CST,2.05,A,2.04,A,0.8316,0.62832,0.6314
USGS,8079120,2022-12-31 13:50:00,CST,2.17,A,2.16,A,0.8131200000000001,0.66528,0.66836
USGS,8079120,2022-12-31 13:55:00,CST,2.06,A,2.05,A,0.80696,0.6314,0.63448
USGS,8079120,2022-12-31 14:00:00,CST,2.07,A,2.05,A,0.79464,0.6314,0.6375599999999999
USGS,8079120,2022-12-31 14:05:00,CST,2.07,A,2.06,A,0.76384,0.63448,0.6375599999999999
USGS,8079120,2022-12-31 14:10:00,CST,2.19,A,2.14,A,0.75768,0.65912,0.67452
USGS,8079120,2022-12-31 14:15:00,CST,2.0,A,1.99,A,0.74536,0.61292,0.616
USGS,8079120,2022-12-31 14:20:00,CST,1.99,A,2.0,A,0.7238,0.616,0.61292
USGS,8079120,2022-12-31 14:25:00,CST,2.06,A,2.07,A,0.70532,0.6375599999999999,0.63448
USGS,8079120,2022-12-31 14:30:00,CST,2.02,A,1.99,A,0.6960799999999999,0.61292,0.62216
USGS,8079120,2022-12-31 14:35:00,CST,1.97,A,1.96,A,0.6776000000000001,0.60368,0.60676
USGS,8079120,2022-12-31 14:40:00,CST,1.9,A,1.86,A,0.66528,0.5728800000000001,0.5851999999999999
USGS,8079120,2022-12-31 14:45:00,CST,1.98,A,1.95,A,0.6622,0.6006,0.6098399999999999
USGS,8079120,2022-12-31 14:50:00,CST,1.97,A,1.93,A,0.6498799999999999,0.59444,0.60676
USGS,8079120,2022-12-31 14:55:00,CST,1.95,A,1.94,A,0.64064,0.5975199999999999,0.6006
USGS,8079120,2022-12-31 15:00:00,CST,1.98,A,1.97,A,0.63448,0.60676,0.6098399999999999
USGS,8079120,2022-12-31 15:05:00,CST,1.94,A,1.93,A,0.62832,0.59444,0.5975199999999999
USGS,8079120,2022-12-31 15:10:00,CST,2.08,A,2.05,A,0.6314,0.6314,0.64064
USGS,8079120,2022-12-31 15:15:00,CST,2.0,A,1.97,A,0.6314,0.60676,0.616
USGS,8079120,2022-12-31 15:20:00,CST,2.05,A,2.03,A,0.6252399999999999,0.6252399999999999,0.6314
USGS,8079120,2022-12-31 15:25:00,CST,1.99,A,1.96,A,0.62216,0.60368,0.61292
USGS,8079120,2022-12-31 15:30:00,CST,2.11,A,2.07,A,0.62216,0.6375599999999999,0.6498799999999999
USGS,8079120,2022-12-31 15:35:00,CST,2.05,A,2.03,A,0.61908,0.6252399999999999,0.6314
USGS,8079120,2022-12-31 15:40:00,CST,1.99,A,1.96,A,0.6098399999999999,0.60368,0.61292
USGS,8079120,2022-12-31 15:45:00,CST,2.0,A,1.97,A,0.6314,0.60676,0.616
USGS,8079120,2022-12-31 15:50:00,CST,1.93,A,1.93,A,0.62832,0.59444,0.59444
USGS,8079120,2022-12-31 15:55:00,CST,1.9,A,1.91,A,0.6314,0.5882799999999999,0.5851999999999999
USGS,8079120,2022-12-31 16:00:00,CST,1.86,A,1.85,A,0.62832,0.5698,0.5728800000000001
USGS,8079120,2022-12-31 16:05:00,CST,1.89,A,1.88,A,0.6314,0.57904,0.58212
USGS,8079120,2022-12-31 16:10:00,CST,1.89,A,1.87,A,0.62832,0.57596,0.58212
USGS,8079120,2022-12-31 16:15:00,CST,1.82,A,1.78,A,0.6252399999999999,0.54824,0.5605600000000001
USGS,8079120,2022-12-31 16:20:00,CST,1.86,A,1.82,A,0.6375599999999999,0.5605600000000001,0.5728800000000001
USGS,8079120,2022-12-31 16:25:00,CST,1.8,A,1.77,A,0.6252399999999999,0.54516,0.5544
USGS,8079120,2022-12-31 16:30:00,CST,1.89,A,1.87,A,0.616,0.57596,0.58212
USGS,8079120,2022-12-31 16:35:00,CST,1.98,A,1.95,A,0.616,0.6006,0.6098399999999999
USGS,8079120,2022-12-31 16:40:00,CST,2.05,A,2.02,A,0.60676,0.62216,0.6314
USGS,8079120,2022-12-31 16:45:00,CST,1.98,A,1.97,A,0.6098399999999999,0.60676,0.6098399999999999
USGS,8079120,2022-12-31 16:50:00,CST,1.91,A,1.9,A,0.60676,0.5851999999999999,0.5882799999999999
USGS,8079120,2022-12-31 16:55:00,CST,1.88,A,1.88,A,0.59136,0.57904,0.57904
USGS,8079120,2022-12-31 17:00:00,CST,1.83,A,1.83,A,0.57596,0.56364,0.56364
USGS,8079120,2022-12-31 17:05:00,CST,1.72,A,1.68,A,0.5544,0.51744,0.52976
USGS,8079120,2022-12-31 17:10:00,CST,1.72,A,1.72,A,0.54208,0.52976,0.52976
USGS,8079120,2022-12-31 17:15:00,CST,1.69,A,1.67,A,0.52668,0.5143599999999999,0.52052
USGS,8079120,2022-12-31 17:20:00,CST,1.69,A,1.64,A,0.5236,0.50512,0.52052
USGS,8079120,2022-12-31 17:25:00,CST,1.64,A,1.6,A,0.5082,0.4928,0.50512
USGS,8079120,2022-12-31 17:30:00,CST,1.68,A,1.64,A,0.48664,0.50512,0.51744
USGS,8079120,2022-12-31 17:35:00,CST,1.68,A,1.66,A,0.47432,0.51128,0.51744
USGS,8079120,2022-12-31 17:40:00,CST,1.76,A,1.73,A,0.4774,0.53284,0.54208
USGS,8079120,2022-12-31 17:45:00,CST,1.82,A,1.8,A,0.46199999999999997,0.5544,0.5605600000000001
USGS,8079120,2022-12-31 17:50:00,CST,1.84,A,1.81,A,0.4466,0.55748,0.56672
USGS,8079120,2022-12-31 17:55:00,CST,1.84,A,1.8,A,0.43735999999999997,0.5544,0.56672
USGS,8079120,2022-12-31 18:00:00,CST,1.79,A,1.79,A,0.42504,0.55132,0.55132
USGS,8079120,2022-12-31 18:05:00,CST,1.79,A,1.78,A,0.42196,0.54824,0.55132
USGS,8079120,2022-12-31 18:10:00,CST,1.72,A,1.69,A,0.40656000000000003,0.52052,0.52976
USGS,8079120,2022-12-31 18:15:00,CST,1.68,A,1.68,A,0.38192,0.51744,0.51744
USGS,8079120,2022-12-31 18:20:00,CST,1.63,A,1.61,A,0.37268,0.49588000000000004,0.5020399999999999
USGS,8079120,2022-12-31 18:25:00,CST,1.67,A,1.64,A,0.36651999999999996,0.50512,0.5143599999999999
USGS,8079120,2022-12-31 18:30:00,CST,1.57,A,1.53,A,0.35419999999999996,0.47124,0.48356
USGS,8079120,2022-12-31 18:35:00,CST,1.6,A,1.57,A,0.35419999999999996,0.48356,0.4928
USGS,8079120,2022-12-31 18:40:00,CST,1.51,A,1.5,A,0.35112,0.46199999999999997,0.46508
USGS,8079120,2022-12-31 18:45:00,CST,1.62,A,1.6,A,0.35112,0.4928,0.49896
USGS,8079120,2022-12-31 18:50:00,CST,1.58,A,1.54,A,0.33572,0.47432,0.48664
USGS,8079120,2022-12-31 18:55:00,CST,1.77,A,1.71,A,0.34496000000000004,0.52668,0.54516
USGS,8079120,2022-12-31 19:00:00,CST,1.73,A,1.7,A,0.34188,0.5236,0.53284
USGS,8079120,2022-12-31 19:05:00,CST,1.79,A,1.74,A,0.34496000000000004,0.53592,0.55132
USGS,8079120,2022-12-31 19:10:00,CST,1.68,A,1.65,A,0.35419999999999996,0.5082,0.51744
USGS,8079120,2022-12-31 19:15:00,CST,1.71,A,1.68,A,0.35419999999999996,0.51744,0.52668
USGS,8079120,2022-12-31 19:20:00,CST,1.68,A,1.66,A,0.37268,0.51128,0.51744
USGS,8079120,2022-12-31 19:25:00,CST,1.61,A,1.56,A,0.39424,0.48048,0.49588000000000004
USGS,8079120,2022-12-31 19:30:00,CST,1.6,A,1.59,A,0.40964,0.48972000000000004,0.4928
USGS,8079120,2022-12-31 19:35:00,CST,1.58,A,1.56,A,0.4158,0.48048,0.48664
USGS,8079120,2022-12-31 19:40:00,CST,1.6,A,1.57,A,0.43119999999999997,0.48356,0.4928
USGS,8079120,2022-12-31 19:45:00,CST,1.57,A,1.55,A,0.44044,0.4774,0.48356
USGS,8079120,2022-12-31 19:50:00,CST,1.63,A,1.6,A,0.46508,0.4928,0.5020399999999999
USGS,8079120,2022-12-31 19:55:00,CST,1.66,A,1.64,A,0.5082,0.50512,0.51128
USGS,8079120,2022-12-31 20:00:00,CST,1.72,A,1.69,A,0.53592,0.52052,0.52976
USGS,8079120,2022-12-31 20:05:00,CST,1.82,A,1.8,A,0.5728800000000001,0.5544,0.5605600000000001
USGS,8079120,2022-12-31 20:10:00,CST,1.74,A,1.71,A,0.62216,0.52668,0.53592
USGS,8079120,2022-12-31 20:15:00,CST,1.76,A,1.75,A,0.6622,0.539,0.54208
USGS,8079120,2022-12-31 20:20:00,CST,1.75,A,1.72,A,0.6776000000000001,0.52976,0.539
USGS,8079120,2022-12-31 20:25:00,CST,1.75,A,1.76,A,0.7392,0.54208,0.539
USGS,8079120,2022-12-31 20:30:00,CST,1.69,A,1.67,A,0.77,0.5143599999999999,0.52052
USGS,8079120,2022-12-31 20:35:00,CST,1.63,A,1.61,A,0.7915599999999999,0.49588000000000004,0.5020399999999999
USGS,8079120,2022-12-31 20:40:00,CST,1.68,A,1.66,A,0.8316,0.51128,0.51744
USGS,8079120,2022-12-31 20:45:00,CST,1.65,A,1.63,A,0.8377600000000001,0.5020399999999999,0.5082
USGS,8079120,2022-12-31 20:50:00,CST,1.64,A,1.6,A,0.85316,0.4928,0.50512
USGS,8079120,2022-12-31 20:55:00,CST,1.7,A,1.66,A,0.8685599999999999,0.51128,0.5236
USGS,8079120,2022-12-31 21:00:00,CST,1.81,A,1.78,A,0.88088,0.54824,0.55748
USGS,8079120,2022-12-31 21:05:00,CST,1.84,A,1.8,A,0.89012,0.5544,0.56672
USGS,8079120,2022-12-31 21:10:00,CST,1.8,A,1.77,A,0.9209200000000001,0.54516,0.5544
